,occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
32,45400,SERIOUS INCIDENT,FIRE DURING THE FLIGHT,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2012-01-21,14:50:00,YES,CENIPA,IN PROGRESS,,,,0,1,,2016-07-30
33,43870,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2011-02-14,14:45:00,YES,SERIPA-6,FINISHED,,1.0,2015-06-06,0,1,,2016-07-30
34,36495,SERIOUS INCIDENT,ANOTHER TYPES,BRASÍLIA,Distrito Federal,BRAZIL,****,2008-03-14,16:14:00,YES,CENIPA,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
35,53493,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2015-10-05,14:15:00,YES,CENIPA,IN PROGRESS,,,,0,1,,2016-07-30
36,27852,ACCIDENT,ABOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2006-06-16,13:17:00,YES,CENIPA,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
37,38359,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BRASÍLIA,Distrito Federal,BRAZIL,****,2009-08-07,20:40:00,YES,SERIPA-6,FINISHED,,1.0,2016-06-16,2,1,,2016-07-30
38,43461,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,BRASÍLIA,Distrito Federal,BRAZIL,****,2010-12-08,22:00:00,YES,CENIPA,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
39,46026,SERIOUS INCIDENT,LANDING BEFORE THE TRACK AREA,BRASÍLIA,Distrito Federal,BRAZIL,SIQE,2012-06-22,12:30:00,YES,SERIPA-6,FINISHED,,1.0,2015-05-15,1,1,,2016-07-30
40,34651,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,BRASÍLIA,Distrito Federal,BRAZIL,****,2008-12-05,09:55:00,YES,SERIPA-6,FINISHED,,1.0,2011-09-23,15,1,,2016-07-30
41,50346,ACCIDENT,LANDING WITHOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SIQE,2013-12-10,12:05:00,YES,SERIPA-6,FINISHED,,1.0,2014-06-16,0,1,,2016-07-30
42,30181,ACCIDENT,LOAD LAUNCH,BRASÍLIA,Distrito Federal,BRAZIL,****,2007-08-09,17:30:00,YES,SERIPA-6,FINISHED,,1.0,2013-08-22,5,1,,2016-07-30
43,44858,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2011-07-19,20:50:00,YES,SERIPA-6,FINISHED,,1.0,2015-04-15,0,1,,2016-07-30
44,41917,ACCIDENT,HARD LANDING,BRASÍLIA,Distrito Federal,BRAZIL,****,2010-07-19,18:30:00,YES,SERIPA-6,FINISHED,,1.0,2011-07-21,1,1,,2016-07-30
45,28015,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,BRASÍLIA,Distrito Federal,BRAZIL,****,2006-10-19,20:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
